,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
11,ring,0.001,0.01,0.0,1.4456828799849994,0.23173816728314123,5000,0.37367419296273807
48,ring,0.05,0.0001,0.0,0.0046414029304781565,0.018662222959192006,5000,0.37772550571792923
21,ring,0.005,0.001,0.0,0.046414029304781564,0.18662222959192,5000,0.3777613746883845
49,ring,0.05,0.0001,0.0,0.010348045877787366,0.009332975649625456,5000,0.38030508913955674
22,ring,0.005,0.001,0.0,0.10348045877787365,0.09332975649625455,5000,0.38034531043180086
50,ring,0.05,0.0001,0.0,0.014456828799849995,0.0023173816728314124,5000,0.38219947901955553
23,ring,0.005,0.001,0.0,0.14456828799849997,0.02317381672831412,5000,0.38224380707691047
60,ring,0.1,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5000,0.38856408612510607
33,ring,0.01,0.0001,0.0,0.0046414029304781565,0.018662222959192006,5000,0.38867141873405764
6,ring,0.001,0.001,0.0,0.046414029304781564,0.18662222959192,5000,0.3886819762179128
61,ring,0.1,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5000,0.38908751306925826
34,ring,0.01,0.0001,0.0,0.010348045877787366,0.009332975649625456,5000,0.38919745144407913
7,ring,0.001,0.001,0.0,0.10348045877787365,0.09332975649625455,5000,0.38920876555807776
62,ring,0.1,1e-05,0.0,0.0014456828799849998,0.00023173816728314127,5000,0.38946573066655926
35,ring,0.01,0.0001,0.0,0.014456828799849995,0.0023173816728314124,5000,0.38957736334477777
8,ring,0.001,0.001,0.0,0.14456828799849997,0.02317381672831412,5000,0.38958973528571533
45,ring,0.05,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5000,0.39001935651208786
18,ring,0.005,0.0001,0.0,0.0046414029304781565,0.018662222959192006,5000,0.39007105006133663
46,ring,0.05,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5000,0.39028319466930267
19,ring,0.005,0.0001,0.0,0.010348045877787366,0.009332975649625456,5000,0.3903350471472587
47,ring,0.05,1e-05,0.0,0.0014456828799849998,0.00023173816728314127,5000,0.39047329953494464
20,ring,0.005,0.0001,0.0,0.014456828799849995,0.0023173816728314124,5000,0.3905255163666266
