,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,grid,0.5,0.5,0.0015,0.0158031062124248,500,0.8943
3,grid,1.0,0.5,0.0015,0.0158031062124248,500,0.9072
1,grid,0.5,1.0,0.003,0.0316062124248497,500,0.9079
8,grid,5.0,5.0,0.015,0.1580310621242485,500,0.9166
4,grid,1.0,1.0,0.003,0.0316062124248497,500,0.9168
6,grid,5.0,0.5,0.0015,0.0158031062124248,500,0.9295
2,grid,0.5,5.0,0.015,0.1580310621242485,500,0.93
5,grid,1.0,5.0,0.015,0.1580310621242485,500,0.9325
7,grid,5.0,1.0,0.003,0.0316062124248497,500,0.9329
