Step,topology,method,lr,momentum,clip,sigma,sigma-cor,epsilon,loss
110,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,51.63430956767517
115,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,51.941975227665
120,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.00142672236849
125,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,51.746575967989195
130,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,51.9318762993969
135,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.239810759815256
140,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.385092087368946
145,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.30029166979697
150,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.16279762659191
155,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.85759785572542
160,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.61243056259493
165,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.58464911886997
170,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.48358275547838
175,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.503435652239716
180,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.542626920933806
185,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.46967063839813
190,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.416085662637784
195,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.606202980440806
200,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.57075129869961
205,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.498157584626966
210,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.554098009483575
215,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.80617554371308
220,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.99215679952471
225,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.03645890346407
230,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,52.897224735693285
235,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.10999784407432
240,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.16601342811144
245,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.10119342787578
250,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.158672411236374
255,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.25025331640379
260,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.284143880675984
265,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.32279140991781
270,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.43675787362887
275,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.41011626498892
280,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.421540048958136
285,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.35454691902819
290,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.27510305466043
295,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.43490367082781
300,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.55576364286312
305,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.59711365830161
310,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.51332550863444
315,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.64278213937517
320,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.776055472494654
325,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.77367444457318
330,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.76714931063068
335,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.59308425878357
340,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.62234366269837
345,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.631717096645204
350,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.50804406930801
355,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.62602741494724
360,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.60552854562848
365,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.769328506866124
370,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.87100259850772
375,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.49904013330642
380,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.68393789517984
385,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.640243095801
390,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.75827266996652
395,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.771143854619716
400,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.550327135613536
405,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.818452817205554
410,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.9629512226694
415,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.57788555985921
420,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.90272010956665
425,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,54.18475423219196
430,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,54.11889623563667
435,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,54.14407008182942
440,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.87248977192774
445,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,54.262971556568225
450,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.88892669000711
455,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.93366618684251
460,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.98671040624862
465,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.774849313207966
470,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.931634503552694
475,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,54.02613413753377
480,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.711068169542436
485,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.91309154612874
490,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.69941486182677
495,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.87104782071101
500,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,54.02618323288551
505,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.73959888365572
510,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.59931676673034
515,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.82333104412071
520,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.738050540734946
525,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.68907800261052
530,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.64000641226963
535,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.70017444419281
540,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.69269715759173
545,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.55880146330768
550,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.75326460660849
555,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.76446343853298
560,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.80825901155408
565,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.91893428217053
570,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.623196911748245
575,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.69996428158463
580,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.66847395406684
585,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.88438461457101
