Step,topology,method,lr,momentum,clip,sigma,sigma-cor,epsilon,loss
-1,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,-1.0
0,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,0.41034268705976185
5,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,2.2373035990677725
10,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,4.801520924372282
15,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,7.194831403837944
20,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,9.255673267697256
25,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,10.92192502993049
30,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,12.179477836324352
35,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,13.097836306986995
40,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,13.88639771118762
45,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,14.277814800958122
50,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,14.887146363817369
55,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,15.157835949536414
60,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,15.49245361531654
65,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,15.825999483139812
70,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,16.31538984924236
75,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,16.407310490948486
80,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,16.846056393778728
85,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,17.16346400667758
90,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,17.247984643443218
95,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,17.510252733140128
100,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,17.936329846251553
105,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,18.037389859757702
110,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,18.20956664307271
115,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,18.58225653910575
120,ring,corr,0.005,0.0,0.5,6.738010185558171,75.07507756756758,10,18.84679018629756
