Step,topology,method,lr,momentum,clip,sigma,sigma-cor,epsilon,loss
335,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28710818140033756
340,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29845907667801563
345,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2852034394683569
350,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28818369459728754
355,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2825513857781581
360,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2826387632103248
365,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2713446786449406
370,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28101960310481366
375,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28279037443438637
380,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28473234364617617
385,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2805501048178841
390,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29659250622269684
395,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2814559386869254
400,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28630231953821805
405,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2882203022878749
410,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29080377976481764
415,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2841823525281416
420,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.292266658124102
425,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2700665426158956
430,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2753051807958564
435,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.27927884537768444
440,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2696583030730476
445,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.274804894692388
450,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.27004852615348074
455,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2679084824807816
460,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.25943085784615605
465,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2681339463041159
470,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.27284369582220336
475,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2669155852252696
480,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.27243074954027924
485,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2847709434068223
490,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2887326006288753
