,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,centralized,0.05,0.1,0.00033915930271525294,0,1000,0.6655
3,centralized,0.1,0.1,0.00033915930271525294,0,1000,0.7092
6,centralized,0.5,0.1,0.00033915930271525294,0,1000,0.8537
1,centralized,0.05,1.0,0.003391593027152528,0,1000,0.868
14,centralized,5.0,10.0,0.03391593027152529,0,1000,0.8748
9,centralized,1.0,0.1,0.00033915930271525294,0,1000,0.8861
4,centralized,0.1,1.0,0.003391593027152528,0,1000,0.8899
11,centralized,1.0,10.0,0.03391593027152529,0,1000,0.8934
12,centralized,5.0,0.1,0.00033915930271525294,0,1000,0.9097
8,centralized,0.5,10.0,0.03391593027152529,0,1000,0.911
7,centralized,0.5,1.0,0.003391593027152528,0,1000,0.9118
2,centralized,0.05,10.0,0.03391593027152529,0,1000,0.912
10,centralized,1.0,1.0,0.003391593027152528,0,1000,0.9194
5,centralized,0.1,10.0,0.03391593027152529,0,1000,0.9207
13,centralized,5.0,1.0,0.003391593027152528,0,1000,0.9213
