Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
420,grid,corr,0.05,1,50.01676791587411,3.1032,10,55.06932179631044
425,grid,corr,0.05,1,50.01676791587411,3.1032,10,57.86099426549449
430,grid,corr,0.05,1,50.01676791587411,3.1032,10,58.32313040519245
435,grid,corr,0.05,1,50.01676791587411,3.1032,10,57.89800038324225
440,grid,corr,0.05,1,50.01676791587411,3.1032,10,58.02664330445937
445,grid,corr,0.05,1,50.01676791587411,3.1032,10,58.360831635257775
450,grid,corr,0.05,1,50.01676791587411,3.1032,10,58.770607089413936
455,grid,corr,0.05,1,50.01676791587411,3.1032,10,58.879939592424876
460,grid,corr,0.05,1,50.01676791587411,3.1032,10,58.91049182336342
465,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.925059326607006
470,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.58335258656864
475,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.57110092935534
480,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.139354897753414
485,grid,corr,0.05,1,50.01676791587411,3.1032,10,59.67170983475815
490,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.671552006945454
495,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.15764206393201
500,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.09466378826713
505,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.19087765111823
510,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.22176291254208
515,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.487241504254136
520,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.21661696824531
525,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.629651552435604
530,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.84391463878917
535,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.800165299846
540,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.247546738134645
545,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.6443994008765
550,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.550204797638955
555,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.40559399401064
560,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.069546040257066
565,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.414698982754665
570,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.44814775365684
575,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.85539757628603
580,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.73822095674421
585,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.89758048572064
590,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.62270790067373
595,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.4782719197009
600,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.015792678017945
605,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.21606760612849
610,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.73824676251569
615,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.80065086313228
620,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.74304651435436
625,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.733041021879224
630,grid,corr,0.05,1,50.01676791587411,3.1032,10,59.80139049326021
635,grid,corr,0.05,1,50.01676791587411,3.1032,10,59.39746074398302
640,grid,corr,0.05,1,50.01676791587411,3.1032,10,59.64677952895647
645,grid,corr,0.05,1,50.01676791587411,3.1032,10,58.7290035556269
650,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.305404279604666
655,grid,corr,0.05,1,50.01676791587411,3.1032,10,58.84172049238484
660,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.44958560525056
665,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.02617074257645
670,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.30688006307302
675,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.90222170153746
680,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.898660218482455
685,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.01781452933952
690,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.47356017903465
695,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.79764539513619
700,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.57167774009608
705,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.57898068746062
710,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.36453944219707
715,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.77584004722971
720,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.056637342353866
725,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.22233658766341
730,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.3147848055118
735,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.927576357641776
740,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.69784771588904
745,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.85370540367493
750,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.043979169630475
755,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.31578655108284
760,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.71080260495214
765,grid,corr,0.05,1,50.01676791587411,3.1032,10,59.726543883274296
770,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.4057993783639
775,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.598110711917364
780,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.550348333551305
785,grid,corr,0.05,1,50.01676791587411,3.1032,10,59.79560100314607
