Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
-1,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,-1.0
0,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,0.36399884306589336
5,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,1.2126732104223041
10,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,1.4706959440417653
15,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,1.7435726590605811
20,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,1.6795834942139307
25,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,1.8521574087299664
30,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,1.973156036184398
35,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,2.10923306600163
40,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,2.4158556830809736
45,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,2.5870368822748193
50,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,2.6561357729114876
55,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,3.0181351113209325
60,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,3.0887726529781543
65,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,3.1457574210927026
70,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,3.475583994033913
75,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,3.71403965504072
80,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,3.6822423222614837
85,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,3.6981677750369606
90,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,4.023538316559325
95,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,4.303602010345434
100,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,4.270023860887198
105,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,4.62616128548143
110,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,4.651500720326079
115,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,4.888489113094607
120,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,5.1620533608763415
125,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,5.3606782363259855
130,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,5.41593443885611
135,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,6.06917682565607
140,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,6.32586177340304
145,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,6.561857859426236
150,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,6.85576411215704
155,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,7.078467537410342
160,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,7.217053774313015
165,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,7.517972653122713
170,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,7.782952421674863
175,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,8.066127403433928
180,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,8.053724372141726
185,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,8.496076008924184
190,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,8.733886397963051
195,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,8.846503002202716
200,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,9.438474899092576
205,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,9.370401087775093
210,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,9.762813692360348
215,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,10.206183906213964
220,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,10.159238699290528
225,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,10.52801337277134
230,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,10.7299235675905
235,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,11.058260236779022
240,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,11.13828088264437
245,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,11.593234109229474
250,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,12.020867213119454
255,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,11.904674167241135
260,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,12.297471707365052
265,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,12.649893552108901
270,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,12.449277477949542
275,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,13.215524776254945
280,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,12.922835022919152
285,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,13.558239280787264
290,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,13.696060446637885
295,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,14.099475249217765
300,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,14.131547425947543
305,grid,corr,0.1,0.05,1.5678831393318051,1.1012,10,14.39565193775755
