,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
28,grid,0.01,0.001,0.0,0.023300310237402623,0.01615895511196252,5000,0.3628470768227567
7,grid,0.001,0.01,0.0,0.23300310237402622,0.16158955111962522,5000,0.362850479127496
50,grid,0.1,0.0001,0.0,0.0037164957651394264,0.00029371263231936593,5000,0.3639714675425015
29,grid,0.01,0.001,0.0,0.03716495765139427,0.0029371263231936593,5000,0.364026518279026
8,grid,0.001,0.01,0.0,0.37164957651394265,0.029371263231936593,5000,0.3640314100392207
36,grid,0.05,0.0001,0.0,0.0010013356465660632,0.004723025276556935,5000,0.3761118784008443
15,grid,0.005,0.001,0.0,0.010013356465660631,0.047230252765569344,5000,0.37614706557536454
37,grid,0.05,0.0001,0.0,0.002330031023740262,0.0016158955111962522,5000,0.3766979378644041
16,grid,0.005,0.001,0.0,0.023300310237402623,0.01615895511196252,5000,0.37673458018979517
38,grid,0.05,0.0001,0.0,0.0037164957651394264,0.00029371263231936593,5000,0.3773131744427371
17,grid,0.005,0.001,0.0,0.03716495765139427,0.0029371263231936593,5000,0.37735003053762856
24,grid,0.01,0.0001,0.0,0.0010013356465660632,0.004723025276556935,5000,0.3883377140617105
3,grid,0.001,0.001,0.0,0.010013356465660631,0.047230252765569344,5000,0.38834810663294084
25,grid,0.01,0.0001,0.0,0.002330031023740262,0.0016158955111962522,5000,0.38845973555560576
4,grid,0.001,0.001,0.0,0.023300310237402623,0.01615895511196252,5000,0.38847014843273014
26,grid,0.01,0.0001,0.0,0.0037164957651394264,0.00029371263231936593,5000,0.38858708004262876
5,grid,0.001,0.001,0.0,0.03716495765139427,0.0029371263231936593,5000,0.38859758810771383
12,grid,0.005,0.0001,0.0,0.0010013356465660632,0.004723025276556935,5000,0.3899040440477524
13,grid,0.005,0.0001,0.0,0.002330031023740262,0.0016158955111962522,5000,0.38996529868995594
14,grid,0.005,0.0001,0.0,0.0037164957651394264,0.00029371263231936593,5000,0.3900292781622848
0,grid,0.001,0.0001,0.0,0.0010013356465660632,0.004723025276556935,5000,0.39117353457434384
1,grid,0.001,0.0001,0.0,0.002330031023740262,0.0016158955111962522,5000,0.3911858928863386
2,grid,0.001,0.0001,0.0,0.0037164957651394264,0.00029371263231936593,5000,0.3911987216444496
46,grid,0.05,0.1,0.0,2.330031023740262,1.6158955111962523,5000,0.5371183118550641
47,grid,0.05,0.1,0.0,3.7164957651394266,0.2937126323193659,5000,1.3471226568745507
58,grid,0.1,0.1,0.0,2.330031023740262,1.6158955111962523,5000,1.4539633438414954
59,grid,0.1,0.1,0.0,3.7164957651394266,0.2937126323193659,5000,6.002252148138644
