,topology,lr,clip,sigma,sigma-cor,T,accuracy
8,ring,5.0,5.0,0.0177272727272727,0.251748496993988,500,0.8731
0,ring,0.5,0.5,0.0017727272727272,0.0251748496993988,500,0.8934
5,ring,1.0,5.0,0.0177272727272727,0.251748496993988,500,0.8999
7,ring,5.0,1.0,0.0035454545454545,0.0503496993987976,500,0.9032
3,ring,1.0,0.5,0.0017727272727272,0.0251748496993988,500,0.9044
1,ring,0.5,1.0,0.0035454545454545,0.0503496993987976,500,0.9052
4,ring,1.0,1.0,0.0035454545454545,0.0503496993987976,500,0.9099
2,ring,0.5,5.0,0.0177272727272727,0.251748496993988,500,0.9102
6,ring,5.0,0.5,0.0017727272727272,0.0251748496993988,500,0.9126
