,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,ring,0.05,0.1,0.0013180694180849912,0,1000,0.6657
3,ring,0.1,0.1,0.0013180694180849912,0,1000,0.7093
14,ring,5.0,10.0,0.13180694180849914,0,1000,0.8402
11,ring,1.0,10.0,0.13180694180849914,0,1000,0.8446
8,ring,0.5,10.0,0.13180694180849914,0,1000,0.8513
6,ring,0.5,0.1,0.0013180694180849912,0,1000,0.8534
13,ring,5.0,1.0,0.013180694180849913,0,1000,0.856
1,ring,0.05,1.0,0.013180694180849913,0,1000,0.867
9,ring,1.0,0.1,0.0013180694180849912,0,1000,0.8836
4,ring,0.1,1.0,0.013180694180849913,0,1000,0.8889
5,ring,0.1,10.0,0.13180694180849914,0,1000,0.8971
2,ring,0.05,10.0,0.13180694180849914,0,1000,0.9023
10,ring,1.0,1.0,0.013180694180849913,0,1000,0.9032
7,ring,0.5,1.0,0.013180694180849913,0,1000,0.9036
12,ring,5.0,0.1,0.0013180694180849912,0,1000,0.9048
