Step,topology,method,lr,momentum,clip,sigma,sigma-cor,epsilon,loss
-1,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,-1.0
0,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.3536271131481442
5,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.3075948136744199
10,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.29872282256131066
15,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.28259998895693006
20,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.2841784394425506
25,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.25044058251812396
30,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.24636000463467622
35,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.25592244979493406
40,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.26332088679027654
45,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.27142534600656154
50,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.2630598043445621
55,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.2799625740543539
60,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.27294499921994475
65,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.2839799890892897
70,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.2941065987683311
75,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.3034764300760896
80,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.29300452965108226
85,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.3123086260300785
90,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.31835407343151745
95,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.3225647479013747
100,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.30240308295023943
105,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.2904108706988038
110,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.29944827189403045
115,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.3070782431650717
120,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.3048922504560698
125,ring,corr,0.5,0.0,0.001,0.050016767915874116,1e-05,10,0.3190672240014637
