Step,topology,method,lr,momentum,clip,sigma,sigma-cor,epsilon,loss
120,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,15.431363921417814
125,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.687442530865788
130,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.815416207641054
135,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,19.346432312553485
140,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.551320033834187
145,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.786834257736427
150,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,24.70320138121904
155,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.2739741011733
160,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,21.47886089740474
165,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,19.708734500638286
170,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,25.048428997728095
175,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,25.51304786589605
180,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.471710223684834
185,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,26.215192695312112
190,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,24.172667324240724
195,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.257533588917035
200,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.8725103993335
205,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,21.847242957625735
210,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,21.338309446333962
215,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.161372527576585
220,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.128606523111824
225,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.637859627751688
230,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.175666192430842
235,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.476470022720093
240,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,15.810533742959224
245,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,15.503700657094774
250,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.772176101180506
255,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.317112046767917
260,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,19.34294095907047
265,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.207147336212714
270,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.024021890862624
275,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.80925509473035
280,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.8853116783394
285,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.776974967226604
290,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,19.160881749589738
295,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.31220622608741
300,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.608328030681292
305,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.375916701270754
310,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.302055872807784
315,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.688314952316446
320,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.68483643395398
325,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,15.94971649492694
330,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,15.379202077908955
335,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,15.422041883575988
340,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,15.80221768832194
345,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.59192428048067
350,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.873513970579516
355,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,15.480843701473772
360,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,15.721085743020017
365,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.76664524244333
370,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.43253728390377
375,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.074377297515397
380,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.077079456820655
385,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.88073380003141
390,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.27079021321192
395,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.82163210544304
400,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.595681750781395
405,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.22015631084765
410,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.12488917509208
415,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.906022625404866
420,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.537126760950727
425,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.550805159816985
430,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.03786555884488
435,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.25769506944992
440,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.005932954301514
445,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.50502723819807
450,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.14520935610629
455,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,15.726389451832384
460,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,15.316869110135432
465,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,15.44630082199009
470,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,14.510865278388758
475,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,15.763768155230702
480,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.951886967222958
485,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.348999210141628
490,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.62186516756988
495,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.936997031516263
500,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.799832717541186
505,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.3041483012523
510,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,19.402158563675968
515,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.276416181142487
520,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.165108544121225
525,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.304833128166837
530,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.70623514618588
535,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.776921133704338
540,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.467397130729644
545,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,19.667130690115002
550,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.53178588826545
555,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.417552326046728
560,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,19.53625321384441
565,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,19.38331456993899
570,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,19.603503406796037
575,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,19.48470069344314
580,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,19.79908959403598
585,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.05151750539862
590,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.721245282815666
595,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.6548421412819
600,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.24169243201151
605,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,21.2236706299367
610,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,21.691047005793187
615,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.791240413545605
620,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.008600736221176
625,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,25.078856214027102
630,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,24.03579013998824
635,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.023584297601637
640,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.010336351790738
645,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.291002621850758
650,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.696375533304984
655,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.269071390643536
660,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.09704365653824
665,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,21.941556898940824
670,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.967069160286904
675,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.809841633573495
680,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,21.120269193556275
