Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
370,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3223221852624836
375,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3265499745407715
380,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3227903261149315
385,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3271887860697904
390,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32214058163536907
395,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3200606280192846
400,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32596013282816316
405,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32614218994634947
410,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32519685467503967
415,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3256866689750981
420,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3318507982211951
425,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.333622250844287
430,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.33078748489782317
435,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3316607950311684
440,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.33771387130231867
445,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3365725352677813
450,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.33867921157471714
455,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.33875285560905233
460,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3394391046275196
465,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.34107986724800365
470,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3412273585881985
475,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.340830169748468
480,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3427349733047913
485,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3381253386297114
490,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.33954446901450575
495,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3387201511039689
500,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.34343375200763815
