Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
390,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.23860819812637557
395,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.23644076754350873
400,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.2695885079466209
405,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.3000423029486684
410,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.26495860640534563
415,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.26264793135714415
420,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.23641856261532324
425,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.26316772080037665
430,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.2629560408710312
435,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.2831393651076395
440,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.259432828542014
445,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.26063780700825256
450,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.21716644304710675
455,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.19335277170992538
460,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.18446978868782793
465,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.1947391627606755
470,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.19318395723518134
475,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.1783632822949831
480,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.1823438568884873
485,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.18850328254020743
490,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.17456733370445798
495,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.18040942950615113
500,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.1881985906280862
