,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
0,ring,0.001,0.0001,0.0,0.0010591050107910283,0.00826458655926288,5000,0.39117264888638364
1,ring,0.001,0.0001,0.0,0.002330031023740262,0.002654753487456663,5000,0.39118444351420273
2,ring,0.001,0.0001,0.0,0.0037164957651394264,0.00029371263231936593,5000,0.3911972731901749
3,ring,0.001,0.001,0.0,0.010591050107910283,0.08264586559262879,5000,0.3883526895270247
4,ring,0.001,0.001,0.0,0.023300310237402623,0.026547534874566625,5000,0.38846937286949645
5,ring,0.001,0.001,0.0,0.03716495765139427,0.0029371263231936593,5000,0.3885969065675464
6,ring,0.001,0.01,0.0,0.10591050107910284,0.8264586559262881,5000,0.361779017825782
7,ring,0.001,0.01,0.0,0.23300310237402622,0.26547534874566625,5000,0.3628490767796868
8,ring,0.001,0.01,0.0,0.37164957651394265,0.029371263231936593,5000,0.3640303929196658
9,ring,0.001,0.1,0.0,1.0591050107910283,8.26458655926288,5000,0.22076401981645125
10,ring,0.001,0.1,0.0,2.330031023740262,2.6547534874566625,5000,0.22563810002585646
11,ring,0.001,0.1,0.0,3.7164957651394266,0.2937126323193659,5000,0.2320328713867984
12,ring,0.005,0.0001,0.0,0.0010591050107910283,0.00826458655926288,5000,0.38990565815052647
13,ring,0.005,0.0001,0.0,0.002330031023740262,0.002654753487456663,5000,0.38996425004288593
14,ring,0.005,0.0001,0.0,0.0037164957651394264,0.00029371263231936593,5000,0.390028327704944
15,ring,0.005,0.001,0.0,0.010591050107910283,0.08264586559262879,5000,0.3761719407247532
16,ring,0.005,0.001,0.0,0.023300310237402623,0.026547534874566625,5000,0.3767338053650023
17,ring,0.005,0.001,0.0,0.03716495765139427,0.0029371263231936593,5000,0.3773492611414397
18,ring,0.005,0.01,0.0,0.10591050107910284,0.8264586559262881,5000,0.2763919158823385
19,ring,0.005,0.01,0.0,0.23300310237402622,0.26547534874566625,5000,0.27995968195348947
20,ring,0.005,0.01,0.0,0.37164957651394265,0.029371263231936593,5000,0.2841763646617345
21,ring,0.005,0.1,0.0,1.0591050107910283,8.26458655926288,5000,0.09144728388344363
22,ring,0.005,0.1,0.0,2.330031023740262,2.6547534874566625,5000,0.10870963911600427
23,ring,0.005,0.1,0.0,3.7164957651394266,0.2937126323193659,5000,0.14327539642610868
24,ring,0.01,0.0001,0.0,0.0010591050107910283,0.00826458655926288,5000,0.38834225034717457
25,ring,0.01,0.0001,0.0,0.002330031023740262,0.002654753487456663,5000,0.3884589780344033
26,ring,0.01,0.0001,0.0,0.0037164957651394264,0.00029371263231936593,5000,0.38858637322601564
27,ring,0.01,0.001,0.0,0.010591050107910283,0.08264586559262879,5000,0.36177540333047775
28,ring,0.01,0.001,0.0,0.023300310237402623,0.026547534874566625,5000,0.36284566574660543
29,ring,0.01,0.001,0.0,0.03716495765139427,0.0029371263231936593,5000,0.36402554096490153
30,ring,0.01,0.01,0.0,0.10591050107910284,0.8264586559262881,5000,0.2207788072300174
31,ring,0.01,0.01,0.0,0.23300310237402622,0.26547534874566625,5000,0.2256520879186782
32,ring,0.01,0.01,0.0,0.37164957651394265,0.029371263231936593,5000,0.2320450930559493
33,ring,0.01,0.1,0.0,1.0591050107910283,8.26458655926288,5000,0.05962867319401081
34,ring,0.01,0.1,0.0,2.330031023740262,2.6547534874566625,5000,0.10357697939771005
35,ring,0.01,0.1,0.0,3.7164957651394266,0.2937126323193659,5000,0.193911229319813
36,ring,0.05,0.0001,0.0,0.0010591050107910283,0.00826458655926288,5000,0.3761367538518679
37,ring,0.05,0.0001,0.0,0.002330031023740262,0.002654753487456663,5000,0.37669717823080584
38,ring,0.05,0.0001,0.0,0.0037164957651394264,0.00029371263231936593,5000,0.3773125663597679
39,ring,0.05,0.001,0.0,0.010591050107910283,0.08264586559262879,5000,0.27643352819285283
40,ring,0.05,0.001,0.0,0.023300310237402623,0.026547534874566625,5000,0.27999452277795495
41,ring,0.05,0.001,0.0,0.03716495765139427,0.0029371263231936593,5000,0.2842041515721585
42,ring,0.05,0.01,0.0,0.10591050107910284,0.8264586559262881,5000,0.09150944706286268
43,ring,0.05,0.01,0.0,0.23300310237402622,0.26547534874566625,5000,0.10875838409821525
44,ring,0.05,0.01,0.0,0.37164957651394265,0.029371263231936593,5000,0.14329355461383747
45,ring,0.05,0.1,0.0,1.0591050107910283,8.26458655926288,5000,0.13876996568960093
46,ring,0.05,0.1,0.0,2.330031023740262,2.6547534874566625,5000,0.5476718691128715
47,ring,0.05,0.1,0.0,3.7164957651394266,0.2937126323193659,5000,1.3552339349334666
48,ring,0.1,0.0001,0.0,0.0010591050107910283,0.00826458655926288,5000,0.3617306608700122
49,ring,0.1,0.0001,0.0,0.002330031023740262,0.002654753487456663,5000,0.3627946070381384
50,ring,0.1,0.0001,0.0,0.0037164957651394264,0.00029371263231936593,5000,0.36397044320037064
51,ring,0.1,0.001,0.0,0.010591050107910283,0.08264586559262879,5000,0.2208982936744719
52,ring,0.1,0.001,0.0,0.023300310237402623,0.026547534874566625,5000,0.22575660498455966
53,ring,0.1,0.001,0.0,0.03716495765139427,0.0029371263231936593,5000,0.23212953410310078
54,ring,0.1,0.01,0.0,0.10591050107910284,0.8264586559262881,5000,0.05970769038791122
55,ring,0.1,0.01,0.0,0.23300310237402622,0.26547534874566625,5000,0.10357341470807431
56,ring,0.1,0.01,0.0,0.37164957651394265,0.029371263231936593,5000,0.19374772062235154
57,ring,0.1,0.1,0.0,1.0591050107910283,8.26458655926288,5000,0.36022732330851864
58,ring,0.1,0.1,0.0,2.330031023740262,2.6547534874566625,5000,1.4972554558832474
