,topology,method,gamma,c_clip,eps_iter,eps,sigma,sigma_cor,loss
0,centralized,Corr,0.0017,1.5,0.003720956772344013,30.0,-1.0,-1.0,inf
1,centralized,Corr,0.0017,1.5,0.0039238467254194016,31.064017507456832,4.967992191063156,8.0,0.00015535579860108894
