,topology,sigma,sigma-cor,epsilon
0,ring,5.332580092489636,68.0,50
1,ring,5.640228943979422,49.0,50
2,ring,5.947877795469209,41.0,50
3,ring,6.563175498448782,33.0,50
4,ring,6.8708243499385695,30.0,50
5,ring,7.793770904407929,26.0,50
6,ring,8.101419755897716,24.0,50
7,ring,8.716717458877289,22.0,50
8,ring,9.63966401334665,20.0,50
9,ring,10.562610567816009,18.0,50
10,ring,11.485557122285371,16.0,50
11,ring,11.793205973775157,16.0,50
12,ring,12.716152528244518,14.0,50
13,ring,13.023801379734303,14.0,50
14,ring,13.946747934203664,12.0,50
15,ring,14.254396785693451,12.0,50
16,ring,15.17734334016281,10.0,50
17,ring,15.484992191652598,10.0,50
18,ring,15.792641043142385,10.0,50
19,ring,16.715587597611744,8.0,50
20,ring,17.02323644910153,8.0,50
21,ring,17.94618300357089,6.0,50
22,ring,18.253831855060678,6.0,50
23,ring,19.176778409530037,4.0,50
24,ring,19.792076112509612,2.0,50
25,ring,20.099724963999396,1.0,50
