,topology,method,gamma,c_clip,eps_iter,eps,sigma,sigma_cor,loss
0,ring,Corr,0.0017,1.5,0.0026578262659600095,30.0,-1.0,-1.0,10.0
1,ring,Corr,0.0017,1.5,0.0026722811316176294,30.106798763165866,5.878207632829101,188.0,0.5474920054390287
2,ring,Corr,0.0017,1.5,0.002664819630008583,30.051689015235315,6.612983586932739,141.0,0.31352318426108045
3,ring,Corr,0.0017,1.5,0.0026921111786441954,30.25306493771965,7.347759541036376,118.0,0.21835756276939264
4,ring,Corr,0.0017,1.5,0.002664526848593908,30.049525740020805,8.082535495140014,106.0,0.17413850727723698
5,ring,Corr,0.0017,1.5,0.0027251603378515496,30.496208760376987,8.81731144924365,94.0,0.13930604449484574
6,ring,Corr,0.0017,1.5,0.0027392412066130196,30.599567280032034,9.552087403347288,86.0,0.12583557078846938
7,ring,Corr,0.0017,1.5,0.002663898261295195,30.044881083191214,10.286863357450926,82.0,0.11456850270341798
8,ring,Corr,0.0017,1.5,0.002751485141612313,30.689329196786666,11.021639311554564,74.0,0.0980016196706667
9,ring,Corr,0.0017,1.5,0.0027245988202758225,30.49208413105321,11.756415265658202,70.0,0.09373883640207213
10,ring,Corr,0.0017,1.5,0.002717088020071262,30.436892100180952,12.49119121976184,66.0,0.08219412740481932
11,ring,Corr,0.0017,1.5,0.00271271237464137,30.404719882950776,13.960743127969113,59.0,0.07975843300383731
12,ring,Corr,0.0017,1.5,0.0026640602830059995,30.046078295715716,14.695519082072751,57.0,0.0786887252193894
13,ring,Corr,0.0017,1.5,0.0026775665478667205,30.145811722653093,16.899846944383665,49.0,0.07674729172085712
14,ring,Corr,0.0017,1.5,0.0026681329966288104,30.07616614404531,17.6346228984873,47.0,0.07345864097644919
15,ring,Corr,0.0017,1.5,0.0026669345301514615,30.067313529441932,18.36939885259094,45.0,0.06937190876263886
