Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,accuracy,loss
150,centralized,cdp,0.5,1,6.349278828699045,0,10,,14.325623893737793
155,centralized,cdp,0.5,1,6.349278828699045,0,10,,15.053329849243164
160,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.573759460449217
165,centralized,cdp,0.5,1,6.349278828699045,0,10,,17.7885498046875
170,centralized,cdp,0.5,1,6.349278828699045,0,10,,17.681707763671874
175,centralized,cdp,0.5,1,6.349278828699045,0,10,,21.28664627075195
180,centralized,cdp,0.5,1,6.349278828699045,0,10,,20.180887603759764
185,centralized,cdp,0.5,1,6.349278828699045,0,10,,22.58519592285156
190,centralized,cdp,0.5,1,6.349278828699045,0,10,,19.81871452331543
195,centralized,cdp,0.5,1,6.349278828699045,0,10,,22.145849609375
200,centralized,cdp,0.5,1,6.349278828699045,0,10,,24.013643646240233
205,centralized,cdp,0.5,1,6.349278828699045,0,10,,20.257099533081053
210,centralized,cdp,0.5,1,6.349278828699045,0,10,,17.007440948486327
215,centralized,cdp,0.5,1,6.349278828699045,0,10,,19.426594161987303
220,centralized,cdp,0.5,1,6.349278828699045,0,10,,21.190435791015624
225,centralized,cdp,0.5,1,6.349278828699045,0,10,,18.48393096923828
230,centralized,cdp,0.5,1,6.349278828699045,0,10,,17.460680389404295
235,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.842270278930663
240,centralized,cdp,0.5,1,6.349278828699045,0,10,,18.834797286987303
245,centralized,cdp,0.5,1,6.349278828699045,0,10,,18.295845413208006
250,centralized,cdp,0.5,1,6.349278828699045,0,10,,18.44824638366699
255,centralized,cdp,0.5,1,6.349278828699045,0,10,,15.72593059539795
260,centralized,cdp,0.5,1,6.349278828699045,0,10,,15.516608619689942
265,centralized,cdp,0.5,1,6.349278828699045,0,10,,15.703204536437989
270,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.41331329345703
275,centralized,cdp,0.5,1,6.349278828699045,0,10,,18.650520706176756
280,centralized,cdp,0.5,1,6.349278828699045,0,10,,17.212416076660155
285,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.646486663818358
290,centralized,cdp,0.5,1,6.349278828699045,0,10,,17.304335021972655
295,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.69937934875488
300,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.132994079589842
305,centralized,cdp,0.5,1,6.349278828699045,0,10,,15.665157699584961
310,centralized,cdp,0.5,1,6.349278828699045,0,10,,17.140978240966795
315,centralized,cdp,0.5,1,6.349278828699045,0,10,,15.899444961547852
320,centralized,cdp,0.5,1,6.349278828699045,0,10,,15.013677024841309
325,centralized,cdp,0.5,1,6.349278828699045,0,10,,15.234914207458496
330,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.783771896362303
335,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.675545120239256
340,centralized,cdp,0.5,1,6.349278828699045,0,10,,15.94049301147461
345,centralized,cdp,0.5,1,6.349278828699045,0,10,,17.34186782836914
350,centralized,cdp,0.5,1,6.349278828699045,0,10,,17.660311126708983
355,centralized,cdp,0.5,1,6.349278828699045,0,10,,21.425375366210936
360,centralized,cdp,0.5,1,6.349278828699045,0,10,,21.09036865234375
365,centralized,cdp,0.5,1,6.349278828699045,0,10,,20.44825210571289
370,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.773437881469725
375,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.541387939453124
