Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,accuracy,loss
-1,centralized,cdp,0.1,1,6.349278828699045,0,10,0.0,
0,centralized,cdp,0.1,1,6.349278828699045,0,10,,0.5985269486904145
5,centralized,cdp,0.1,1,6.349278828699045,0,10,,0.4530136227607727
10,centralized,cdp,0.1,1,6.349278828699045,0,10,,0.5864752769470215
15,centralized,cdp,0.1,1,6.349278828699045,0,10,,0.8011200070381165
20,centralized,cdp,0.1,1,6.349278828699045,0,10,,0.7588771224021912
25,centralized,cdp,0.1,1,6.349278828699045,0,10,,0.8990706443786621
30,centralized,cdp,0.1,1,6.349278828699045,0,10,,0.7899039030075073
35,centralized,cdp,0.1,1,6.349278828699045,0,10,,0.7521208167076111
40,centralized,cdp,0.1,1,6.349278828699045,0,10,,0.8950389862060547
45,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.0792683601379394
50,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.0521775722503661
55,centralized,cdp,0.1,1,6.349278828699045,0,10,,0.8761049747467041
60,centralized,cdp,0.1,1,6.349278828699045,0,10,,0.9778887271881104
65,centralized,cdp,0.1,1,6.349278828699045,0,10,,0.9430029630661011
70,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.012637162208557
75,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.0160773038864135
80,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.0208678483963012
85,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.0621495485305785
90,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.0408183574676513
95,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.0858609914779662
100,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.1656238079071044
105,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.2758165836334228
110,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.0968717575073241
115,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.1128227949142455
120,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.1968450784683227
125,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.310969853401184
130,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.1287710905075072
135,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.1482813596725463
140,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.118858242034912
145,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.1882965803146361
150,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.1755426168441772
155,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.1630715370178222
160,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.1122877836227416
165,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.1819389104843139
170,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.0876876354217528
175,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.0282731294631957
180,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.0013909578323363
185,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.01926531791687
190,centralized,cdp,0.1,1,6.349278828699045,0,10,,0.957070255279541
195,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.018550658226013
200,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.002457284927368
205,centralized,cdp,0.1,1,6.349278828699045,0,10,,0.982493782043457
210,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.1111042737960815
215,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.3357523918151855
220,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5659348011016845
225,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5335587501525878
230,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.414827251434326
235,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.8243923425674438
240,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.7350576162338256
245,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5078922748565673
250,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.6769114971160888
255,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.4828770399093627
260,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5981924772262572
265,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.6149667739868163
270,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.6285431623458861
275,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5285228729248046
280,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5163810491561889
285,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.534775400161743
290,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5632152795791625
295,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.446770691871643
300,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5083277463912963
305,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.4270993709564208
310,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.503550910949707
315,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5324071884155273
320,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5564496755599975
325,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5032694578170775
330,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5231446266174316
335,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.4897777080535888
340,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5331321001052856
345,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.6111260890960692
350,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.6322218418121337
355,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5281676292419433
360,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.578218364715576
365,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5575430631637572
370,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.5416349411010741
375,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.4588537454605102
380,centralized,cdp,0.1,1,6.349278828699045,0,10,,1.3339895248413085
