Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,accuracy,loss
-1,centralized,cdp,0.01,2.0,12.69855765739809,0,10,0.0,
0,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5940714679658413
5,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5324342489242554
10,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5285962462425232
15,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4992522239685059
20,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4805414915084839
25,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.51432284116745
30,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5043928861618042
35,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4817365646362305
40,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.49693807363510134
45,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4833131074905396
50,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.45892884731292727
55,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.45218857526779177
60,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4639081597328186
65,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4565513372421265
70,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4534661412239075
75,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.45073487758636477
80,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4335255265235901
85,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.42920001745224
90,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4358417630195618
95,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.43055500984191897
100,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4588691234588623
105,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.45121475458145144
110,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4453532338142395
115,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4636947751045227
120,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4705816745758057
125,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.44881381988525393
130,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4685445070266724
135,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4791996717453003
140,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5100634336471558
145,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5283411979675293
150,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5187596917152405
155,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5049696803092957
160,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4689293146133423
165,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4772301554679871
170,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.44584312438964846
175,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4462595820426941
180,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.46818103790283205
185,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4695522427558899
190,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4751181244850159
195,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4583422183990479
200,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.45028122663497927
205,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4298113226890564
210,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.43868675231933596
215,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.44532164335250857
220,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4334553718566895
225,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.44705750942230227
230,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4838596820831299
235,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4910336971282959
240,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4833171606063843
245,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4765473246574402
250,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4935376882553101
255,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4928478240966797
260,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5088822484016419
265,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4945097804069519
270,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4997523665428162
275,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4967947840690613
280,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5219536662101746
285,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5452675461769104
290,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5526864171028137
295,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5591964364051819
300,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5588801741600037
305,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5702618002891541
310,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5709659695625305
315,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5918517947196961
320,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5972675919532776
325,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5833703517913819
330,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5925525665283203
335,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5845687031745911
340,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.582378351688385
345,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5843146681785584
350,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5646010279655457
355,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5465391516685486
360,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5671448349952698
365,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5623127460479737
370,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5553377509117127
375,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5585959792137146
380,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5772742867469788
385,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5854726076126099
390,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5635128259658814
395,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5415380835533142
400,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5220478415489197
405,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5547461152076721
410,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5382414102554322
415,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5301496028900147
420,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5268407702445984
425,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5137605309486389
430,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5154476404190064
435,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5335731148719788
440,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5410501599311829
445,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5376978158950806
450,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5237655282020569
455,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5235942244529724
460,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.521111273765564
465,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5104405522346497
470,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.5049147248268128
475,centralized,cdp,0.01,2.0,12.69855765739809,0,10,,0.4939764976501465
