Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,accuracy,loss
405,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.4370163917541503
410,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.7465559482574462
415,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.6341468334197997
420,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.725001835823059
425,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.7172401189804076
430,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.036899471282959
435,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.809478187561035
440,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.505088949203491
445,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.212355041503906
450,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.742291474342346
455,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.8043537378311156
460,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.7377809524536132
465,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.1155702114105224
470,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.9975985527038573
475,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.9748147964477538
480,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.7084871768951415
485,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.9801780223846435
490,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.402312421798706
495,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.7243756294250487
500,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.352775239944458
