,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,grid,0.05,0.1,0.0009589256130564035,0,1000,0.666
3,grid,0.1,0.1,0.0009589256130564035,0,1000,0.7088
14,grid,5.0,10.0,0.09589256130564035,0,1000,0.8419
11,grid,1.0,10.0,0.09589256130564035,0,1000,0.8471
6,grid,0.5,0.1,0.0009589256130564035,0,1000,0.8537
8,grid,0.5,10.0,0.09589256130564035,0,1000,0.8604
1,grid,0.05,1.0,0.009589256130564034,0,1000,0.867
13,grid,5.0,1.0,0.009589256130564034,0,1000,0.8673
9,grid,1.0,0.1,0.0009589256130564035,0,1000,0.884
4,grid,0.1,1.0,0.009589256130564034,0,1000,0.8895
5,grid,0.1,10.0,0.09589256130564035,0,1000,0.9046
12,grid,5.0,0.1,0.0009589256130564035,0,1000,0.9062
2,grid,0.05,10.0,0.09589256130564035,0,1000,0.9075
7,grid,0.5,1.0,0.009589256130564034,0,1000,0.9077
10,grid,1.0,1.0,0.009589256130564034,0,1000,0.9086
