Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
390,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4058404424668839
395,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.40455340839040566
400,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.39995858622121205
405,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4010472676148167
410,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.40206207247003245
415,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.40157411136319376
420,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4032668024235897
425,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4015803754579237
430,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.40086061166179965
435,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.40393659764585976
440,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4046021703955496
445,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.40351394929954043
450,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4034571593406965
455,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.400047671706822
460,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.40013591271989135
465,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.39939213113743344
470,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3973140216035693
475,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.39417444672779034
480,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.39414138416583355
485,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3933567029720122
490,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.39317394806156736
495,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.39094747092819493
500,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.38792980189726545
505,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3882900119526972
510,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3903723331822623
515,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.39078906809215164
520,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3903749037455775
525,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3909749676171651
530,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.38900066878238193
535,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.38944324659429097
540,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.38806662556918137
545,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3868548534091951
550,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.38550182415489653
555,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3810843520364602
560,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.38318024977382803
565,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3850053776874004
570,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.38246302726110426
575,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3825333741800282
580,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3806043254218686
585,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3788014353240797
590,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.38092380188268127
595,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3801440692982062
600,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.38061729574722447
605,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.380609676045662
610,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.38002620104854246
615,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3770141457966557
620,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3789875897684031
625,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3801102473295107
630,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3787020056875371
635,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3761182307982266
640,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.37749128482381944
645,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.37698317638345336
650,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3751991211574054
655,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.37539779998979206
660,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.37791312177641634
665,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3762300493959223
670,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.37692130188067896
675,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3758869893219371
680,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3758440534283938
685,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3750607110305244
690,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3729435877251862
695,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.37401531589355685
700,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3742533617460364
705,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.37146669816258393
710,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.37314502917712644
715,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.37117089536614734
720,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3697138772478986
725,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36965545596638616
730,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3688822241057975
735,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36946642248447403
740,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3731572502783498
745,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.37043057607739194
750,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3705787860860503
755,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.37072655888108863
760,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36871615082570086
765,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.37034988389541856
770,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3691403174324478
775,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.371613482992487
780,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.37034201281366996
785,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3702038924337957
790,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3684670744453341
795,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36947984235482
800,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36950268597676084
805,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36879237762754646
