,topology,sigma,sigma-cor,epsilon
0,grid,9.52898538782442,50.0501,10.14000386912658
1,grid,10.07873454481429,37.537600000000005,10.190985834815143
2,grid,10.62848370180416,31.231299999999997,10.313144133832393
3,grid,11.178232858794031,28.1282,10.342182648589793
4,grid,12.277731172773773,25.0251,10.257718955954955
5,grid,13.377229486753514,23.423499999999997,10.101455768155745
6,grid,13.926978643743382,21.8219,10.30522500979583
7,grid,14.476727800733254,21.8219,10.093785054220923
8,grid,15.026476957723123,21.021099999999997,10.137767064135918
9,grid,15.576226114712995,20.220299999999998,10.210203240374055
10,grid,16.125975271702863,20.220299999999998,10.035756780920067
11,grid,16.675724428692735,19.4195,10.141054603335851
12,grid,17.225473585682607,18.718799999999998,10.231248161960687
13,grid,17.775222742672476,18.718799999999998,10.07631075886199
14,grid,18.324971899662344,17.918,10.222703318740477
15,grid,18.874721056652216,17.918,10.07547798184244
16,grid,19.42447021364209,17.1172,10.237241882508343
17,grid,19.974219370631957,17.1172,10.094247925340985
18,grid,20.523968527621825,16.316399999999998,10.26612270636257
19,grid,21.073717684611697,16.316399999999998,10.124758223781278
20,grid,21.62346684160157,15.615699999999999,10.26163878168277
21,grid,22.173215998591438,15.615699999999999,10.121071512247196
22,grid,23.272714312571182,14.8149,10.156112404582732
23,grid,23.82246346956105,14.0141,10.330698374001242
24,grid,24.37221262655092,14.0141,10.1861049847984
25,grid,24.92196178354079,14.0141,10.044985862997269
26,grid,25.471710940530663,13.213299999999998,10.20685222563409
27,grid,26.02146009752053,12.512599999999999,10.32702228781873
28,grid,26.5712092545104,12.512599999999999,10.177543498191273
29,grid,27.120958411500276,12.512599999999999,10.03167013337921
30,grid,27.670707568490144,11.711799999999998,10.170905436419662
31,grid,28.220456725480012,10.911,10.301587231271483
32,grid,28.77020588246988,10.911,10.146231144580483
33,grid,29.869704196449625,9.3094,10.358389440921357
34,grid,30.419453353439494,9.3094,10.194783185420611
35,grid,30.969202510429362,9.3094,10.035664460997433
36,grid,31.518951667419238,7.7078,10.330795477974965
37,grid,32.068700824409106,7.7078,10.161593600027603
38,grid,32.618449981398975,6.2063,10.361937946368608
39,grid,33.16819913838884,6.2063,10.18648947356768
40,grid,33.71794829537872,6.2063,10.01649540807366
41,grid,34.26769745236859,3.1032,10.365134907496799
42,grid,34.817446609358456,3.1032,10.18161494464785
43,grid,35.36719576634833,3.1032,10.004285908856293
