,topology,sigma,sigma-cor,epsilon
0,grid,0.0003956605776801052,0.0018662222959192004,5.152418773190262
1,grid,0.0004413137212585789,0.0009332975649625456,5.89281527036902
2,grid,0.0004641402930478157,0.0009332975649625456,5.714489508944493
3,grid,0.0004869668648370526,0.0009332975649625456,5.555238412132816
4,grid,0.0005097934366262894,0.0009332975649625456,5.412059458463098
5,grid,0.0005326200084155262,0.0009332975649625456,5.282514585067939
6,grid,0.000555446580204763,0.0009332975649625456,5.1646075261810624
7,grid,0.0005782731519939999,0.0009332975649625456,5.056691425208884
8,grid,0.0006010997237832368,0.0006982005327614686,5.926447724408252
9,grid,0.0009206717288325525,0.0004668351994842183,5.999077979013597
10,grid,0.0009434983006217894,0.0004668351994842183,5.905090214229523
11,grid,0.0009663248724110262,0.0004668351994842183,5.81356730399307
12,grid,0.0009891514442002631,0.0004668351994842183,5.724416012946227
13,grid,0.0010119780159894998,0.0004668351994842183,5.637549248920619
14,grid,0.0010348045877787368,0.0004668351994842183,5.552885305613898
15,grid,0.0010576311595679737,0.0004668351994842183,5.470347233853001
16,grid,0.0010804577313572104,0.0004668351994842183,5.389862317113035
17,grid,0.0011032843031464471,0.0004668351994842183,5.311361631814235
18,grid,0.001126110874935684,0.0004668351994842183,5.234779676759971
19,grid,0.001148937446724921,0.0004668351994842183,5.160054059127571
20,grid,0.0011717640185141577,0.0004668351994842183,5.087125226851744
21,grid,0.0011945905903033946,0.0004668351994842183,5.015936239179514
22,grid,0.0012174171620926316,0.00023173816728314127,5.811681213007123
23,grid,0.0012402437338818683,0.00023173816728314127,5.707736856819606
24,grid,0.001263070305671105,0.00023173816728314127,5.6072302909031455
25,grid,0.001285896877460342,0.00023173816728314127,5.510002989858567
26,grid,0.0013087234492495789,0.00023173816728314127,5.415905503046756
27,grid,0.0013315500210388156,0.00023173816728314127,5.32479685089131
28,grid,0.0013543765928280525,0.00023173816728314127,5.236543965768667
29,grid,0.0013772031646172892,0.00023173816728314127,5.1510211739631995
30,grid,0.0014000297364065262,0.00023173816728314127,5.068109715452214
31,grid,0.001422856308195763,0.00011605550064451606,5.188774294039171
32,grid,0.0014456828799849998,0.00011605550064451606,5.101601249534301
33,grid,0.0014685094517742367,0.00011605550064451606,5.017257608804636
