,topology,sigma,sigma-cor,epsilon
0,ring,0.0004641402930478157,0.0018662222959192004,5.828967633311384
1,ring,0.0004869668648370526,0.0018662222959192004,5.6537746975441685
2,ring,0.0005097934366262894,0.0018662222959192004,5.494298545483945
3,ring,0.0005326200084155262,0.0018662222959192004,5.348249010940935
4,ring,0.000555446580204763,0.0018662222959192004,5.213761474617108
5,ring,0.0005782731519939999,0.0018662222959192004,5.089305078740217
6,ring,0.0008065388698863683,0.0009332975649625456,5.908832109507261
7,ring,0.0008293654416756051,0.0009332975649625456,5.804222866389097
8,ring,0.000852192013464842,0.0009332975649625456,5.703717936284791
9,ring,0.0008750185852540788,0.0009332975649625456,5.607042201635615
10,ring,0.0008978451570433157,0.0009332975649625456,5.513946409116095
11,ring,0.0009206717288325525,0.0009332975649625456,5.424204129368833
12,ring,0.0009434983006217894,0.0009332975649625456,5.3376091418491
13,ring,0.0009663248724110262,0.0009332975649625456,5.253973175712974
14,ring,0.0009891514442002631,0.0009332975649625456,5.1731239505162545
15,ring,0.0010119780159894998,0.0009332975649625456,5.094903470635053
16,ring,0.0010348045877787368,0.0009332975649625456,5.019166535399957
17,ring,0.001126110874935684,0.0004668351994842183,5.894371754750374
18,ring,0.001148937446724921,0.0004668351994842183,5.791148003352711
19,ring,0.0011717640185141577,0.0004668351994842183,5.691253106484402
20,ring,0.0011945905903033946,0.0004668351994842183,5.5945328063475515
21,ring,0.0012174171620926316,0.0004668351994842183,5.500842360500567
22,ring,0.0012402437338818683,0.0004668351994842183,5.410045783835019
23,ring,0.001263070305671105,0.0004668351994842183,5.322015166356747
24,ring,0.001285896877460342,0.0004668351994842183,5.2366300576354075
25,ring,0.0013087234492495789,0.0004668351994842183,5.153776910055764
26,ring,0.0013315500210388156,0.0004668351994842183,5.073348574077055
27,ring,0.0013772031646172892,0.00023173816728314127,5.29676753269572
28,ring,0.0014000297364065262,0.00023173816728314127,5.207079948556343
29,ring,0.001422856308195763,0.00023173816728314127,5.1202965768552104
30,ring,0.0014456828799849998,0.00023173816728314127,5.03628190872521
31,ring,0.0014685094517742367,0.00011605550064451606,5.050712317739631
