,topology,sigma,sigma-cor,epsilon
0,grid,0.029167509269971643,0.13757513178394187,7.219062370434279
1,grid,0.03589847294765741,0.06880130827614621,7.799349603072032
2,grid,0.03758121386707885,0.06880130827614621,7.592871452854759
3,grid,0.03926395478650029,0.06880130827614621,7.406263061349751
4,grid,0.04094669570592173,0.06880130827614621,7.236592684105967
5,grid,0.04262943662534317,0.06880130827614621,7.081446219736716
6,grid,0.049360400303028934,0.05147030475218171,7.918423688899702
7,grid,0.05104314122245038,0.05147030475218171,7.793286549827676
8,grid,0.05272588214187182,0.05147030475218171,7.6738248989006195
9,grid,0.05440862306129326,0.05147030475218171,7.5594305319394675
10,grid,0.056091363980714695,0.05147030475218171,7.449586298895639
11,grid,0.05777410490013614,0.05147030475218171,7.343850581467645
12,grid,0.05945684581955758,0.05147030475218171,7.241844681237833
13,grid,0.07460151409435055,0.03441439652224838,7.91815810683876
14,grid,0.07628425501377199,0.03441439652224838,7.795954255645067
15,grid,0.07796699593319344,0.03441439652224838,7.6768991845344665
16,grid,0.07964973685261487,0.03441439652224838,7.560882539899635
17,grid,0.08133247777203631,0.03441439652224838,7.4477997783728584
18,grid,0.08301521869145775,0.03441439652224838,7.337551607467176
19,grid,0.0846979596108792,0.03441439652224838,7.2300435104913925
20,grid,0.08638070053030064,0.03441439652224838,7.125185340639999
21,grid,0.08806344144972207,0.03441439652224838,7.022890972045855
22,grid,0.0931116642079864,0.017083392998283875,7.874386204351776
23,grid,0.09479440512740785,0.017083392998283875,7.734089751377562
24,grid,0.09647714604682929,0.017083392998283875,7.59841468428771
25,grid,0.09815988696625072,0.017083392998283875,7.467148461039006
26,grid,0.09984262788567216,0.017083392998283875,7.3400907078510125
27,grid,0.10152536880509361,0.017083392998283875,7.217052406188299
28,grid,0.10320810972451505,0.017083392998283875,7.097855140424693
29,grid,0.1048908506439365,0.008555438883317211,7.2713555102301495
30,grid,0.10657359156335793,0.008555438883317211,7.1459940644438324
31,grid,0.10825633248277937,0.008555438883317211,7.024789139754946
