,topology,method,gamma,c_clip,eps_iter,eps,sigma,sigma_cor,loss
0,ring,LDP,1e-05,1.0,0.009546680555257741,40,-1.0,-1,10.0
1,ring,LDP,1e-05,1.0,0.009546680555257741,40,14.474007804530656,0,9.91220447548632
2,ring,LDP,1e-05,1.5,0.009546680555257741,40,21.711011706795983,0,9.876250324190641
3,ring,LDP,1e-05,2.0,0.009546680555257741,40,28.94801560906131,0,9.83390160513836
4,ring,LDP,1e-05,2.5,0.009546680555257741,40,36.18501951132664,0,9.79114173344607
5,ring,LDP,1e-05,3.0,0.009546680555257741,40,43.422023413591965,0,9.766566831243596
6,ring,LDP,1e-05,3.5,0.009546680555257741,40,50.659027315857294,0,9.705360414247492
7,ring,LDP,1e-05,4.0,0.009546680555257741,40,57.89603121812262,0,9.698445713158849
8,ring,LDP,2.782559402207126e-05,1.5,0.009546680555257741,40,21.711011706795983,0,9.652311589241604
9,ring,LDP,2.782559402207126e-05,2.0,0.009546680555257741,40,28.94801560906131,0,9.523559628672512
10,ring,LDP,2.782559402207126e-05,2.5,0.009546680555257741,40,36.18501951132664,0,9.448485127405151
11,ring,LDP,2.782559402207126e-05,3.0,0.009546680555257741,40,43.422023413591965,0,9.29427772716399
12,ring,LDP,2.782559402207126e-05,3.5,0.009546680555257741,40,50.659027315857294,0,9.173193153699309
13,ring,LDP,2.782559402207126e-05,4.0,0.009546680555257741,40,57.89603121812262,0,9.057305132481122
14,ring,LDP,7.742636826811278e-05,1.5,0.009546680555257741,40,21.711011706795983,0,8.97823037695827
15,ring,LDP,7.742636826811278e-05,2.0,0.009546680555257741,40,28.94801560906131,0,8.700618214332268
16,ring,LDP,7.742636826811278e-05,2.5,0.009546680555257741,40,36.18501951132664,0,8.417656196523087
17,ring,LDP,7.742636826811278e-05,3.0,0.009546680555257741,40,43.422023413591965,0,8.11696146242546
18,ring,LDP,7.742636826811278e-05,3.5,0.009546680555257741,40,50.659027315857294,0,7.83255740560333
19,ring,LDP,7.742636826811278e-05,4.0,0.009546680555257741,40,57.89603121812262,0,7.790961909434096
20,ring,LDP,0.00021544346900318823,1.5,0.009546680555257741,40,21.711011706795983,0,7.580770562385996
21,ring,LDP,0.00021544346900318823,2.0,0.009546680555257741,40,28.94801560906131,0,6.7775683053013935
22,ring,LDP,0.00021544346900318823,2.5,0.009546680555257741,40,36.18501951132664,0,6.1577996986080885
23,ring,LDP,0.00021544346900318823,3.0,0.009546680555257741,40,43.422023413591965,0,5.619763902746807
24,ring,LDP,0.00021544346900318823,3.5,0.009546680555257741,40,50.659027315857294,0,4.853600082092286
25,ring,LDP,0.00021544346900318823,4.0,0.009546680555257741,40,57.89603121812262,0,4.643357782374296
26,ring,LDP,0.0005994842503189409,1.5,0.009546680555257741,40,21.711011706795983,0,4.011712207092117
27,ring,LDP,0.0005994842503189409,2.0,0.009546680555257741,40,28.94801560906131,0,2.7241618527675637
28,ring,LDP,0.0005994842503189409,2.5,0.009546680555257741,40,36.18501951132664,0,1.4876681932590297
29,ring,LDP,0.0005994842503189409,3.0,0.009546680555257741,40,43.422023413591965,0,1.0818604404984868
30,ring,LDP,0.0005994842503189409,3.5,0.009546680555257741,40,50.659027315857294,0,0.530125464202362
31,ring,LDP,0.0005994842503189409,4.0,0.009546680555257741,40,57.89603121812262,0,0.21787049534272898
32,ring,LDP,0.0016681005372000592,1.5,0.009546680555257741,40,21.711011706795983,0,0.08707012270734826
