,topology,sigma,sigma-cor,epsilon,sigma-cdp,sigma-ldp
0,grid,0.9193429650430032,5.005005054954955,1,0.8663039478289838,3.465215791315935
1,grid,0.9723819822570227,2.502502577477477,1,0.8663039478289838,3.465215791315935
2,grid,1.025420999471042,2.502502577477477,1,0.8663039478289838,3.465215791315935
3,grid,1.0784600166850615,2.502502577477477,1,0.8663039478289838,3.465215791315935
4,grid,1.131499033899081,2.502502577477477,1,0.8663039478289838,3.465215791315935
5,grid,1.1845380511131003,2.502502577477477,1,0.8663039478289838,3.465215791315935
6,grid,1.2375770683271197,1.2512513387387387,1,0.8663039478289838,3.465215791315935
7,grid,1.290616085541139,1.2512513387387387,1,0.8663039478289838,3.465215791315935
8,grid,1.3436551027551586,1.2512513387387387,1,0.8663039478289838,3.465215791315935
9,grid,1.396694119969178,1.2512513387387387,1,0.8663039478289838,3.465215791315935
10,grid,1.4497331371831974,1.2512513387387387,1,0.8663039478289838,3.465215791315935
11,grid,1.5027721543972168,1.2512513387387387,1,0.8663039478289838,3.465215791315935
12,grid,1.5558111716112362,1.2512513387387387,1,0.8663039478289838,3.465215791315935
13,grid,1.6088501888252558,1.2512513387387387,1,0.8663039478289838,3.465215791315935
14,grid,1.6618892060392751,1.2512513387387387,1,0.8663039478289838,3.465215791315935
15,grid,1.7149282232532945,1.2512513387387387,1,0.8663039478289838,3.465215791315935
16,grid,1.767967240467314,1.2512513387387387,1,0.8663039478289838,3.465215791315935
17,grid,1.8210062576813333,1.2512513387387387,1,0.8663039478289838,3.465215791315935
18,grid,1.8740452748953529,1.2512513387387387,1,0.8663039478289838,3.465215791315935
19,grid,1.9270842921093723,1.2512513387387387,1,0.8663039478289838,3.465215791315935
20,grid,1.9801233093233916,1.2512513387387387,1,0.8663039478289838,3.465215791315935
21,grid,2.0331623265374112,1.2512513387387387,1,0.8663039478289838,3.465215791315935
22,grid,2.0862013437514304,1.2512513387387387,1,0.8663039478289838,3.465215791315935
23,grid,2.1392403609654496,1.2512513387387387,1,0.8663039478289838,3.465215791315935
24,grid,2.192279378179469,1.2512513387387387,1,0.8663039478289838,3.465215791315935
25,grid,2.2453183953934888,1.2512513387387387,1,0.8663039478289838,3.465215791315935
26,grid,2.2983574126075084,1.2512513387387387,1,0.8663039478289838,3.465215791315935
27,grid,2.3513964298215275,1.2512513387387387,1,0.8663039478289838,3.465215791315935
28,grid,2.4044354470355467,1.2512513387387387,1,0.8663039478289838,3.465215791315935
29,grid,2.4574744642495663,1.2512513387387387,1,0.8663039478289838,3.465215791315935
30,grid,2.510513481463586,1.2512513387387387,1,0.8663039478289838,3.465215791315935
31,grid,2.5635524986776055,1.2512513387387387,1,0.8663039478289838,3.465215791315935
32,grid,2.6165915158916246,0.6206207144144144,1,0.8663039478289838,3.465215791315935
33,grid,2.669630533105644,0.6206207144144144,1,0.8663039478289838,3.465215791315935
34,grid,2.7226695503196634,0.6206207144144144,1,0.8663039478289838,3.465215791315935
35,grid,2.775708567533683,0.6206207144144144,1,0.8663039478289838,3.465215791315935
36,grid,2.8287475847477026,0.6206207144144144,1,0.8663039478289838,3.465215791315935
37,grid,2.881786601961722,0.6206207144144144,1,0.8663039478289838,3.465215791315935
38,grid,2.934825619175741,0.6206207144144144,1,0.8663039478289838,3.465215791315935
39,grid,2.9878646363897605,0.6206207144144144,1,0.8663039478289838,3.465215791315935
40,grid,3.04090365360378,0.6206207144144144,1,0.8663039478289838,3.465215791315935
41,grid,3.0939426708177997,0.6206207144144144,1,0.8663039478289838,3.465215791315935
42,grid,3.1469816880318193,0.6206207144144144,1,0.8663039478289838,3.465215791315935
43,grid,3.200020705245838,0.6206207144144144,1,0.8663039478289838,3.465215791315935
44,grid,3.2530597224598576,0.3103104072072072,1,0.8663039478289838,3.465215791315935
45,grid,3.3060987396738772,0.3103104072072072,1,0.8663039478289838,3.465215791315935
46,grid,3.359137756887897,0.3103104072072072,1,0.8663039478289838,3.465215791315935
47,grid,3.465215791315935,1e-07,1,0.8663039478289838,3.465215791315935
