,gamma,c_clip,eps_iter,eps,sigma_cdp,sigma_cor,loss_cdp,loss_cor
0,0.004,1,0.003287279250219381,20.0,-1.0,-1.0,10.0,10.0
1,0.004,1,0.003341852979016376,20.206430299507403,3.523697826883926,110.0,0.00010521360228978406,1.1498602500841373
2,0.004,1,0.0033675384592372908,20.303235950217438,3.9641600552444167,82.0,0.00025913312828570583,0.6243072356409489
3,0.004,1,0.003359495533815364,20.272947055368533,4.404622283604908,70.0,0.0005336954341636193,0.4037145989069768
4,0.004,1,0.0033217915221891267,20.1306650107165,4.845084511965398,63.0,0.00015647872368918845,0.30186076751881763
5,0.004,1,0.0033332834451207803,20.174082908517015,5.28554674032589,57.0,0.0004033613682260222,0.2650971556024567
6,0.004,1,0.003296894881480913,20.036446662792,5.72600896868638,53.0,0.00030187240128088294,0.262905596567902
7,0.004,1,0.003305115476503354,20.067580190134333,6.166471197046871,49.0,0.0008212895757122542,0.20442739121268516
8,0.004,1,0.0033550051089341793,20.25602705027503,6.6069334254073615,45.0,0.0011624255357650262,0.20343274774638387
9,0.004,1,0.0032890769625674187,20.00681641483059,7.047395653767852,43.0,0.0018415224663663218,0.17792296622422266
10,0.004,1,0.0033437440253038402,20.213565058253725,9.249706795570306,32.0,0.003131639698490829,0.1394866158615323
11,0.004,1,0.00331985349863686,20.123338459503884,10.57109348065178,28.0,0.001679820784995092,0.12115928896239807
