,gamma,c_clip,eps_iter,eps,sigma_cdp,sigma_cor,loss_cdp,loss_cor
0,0.004,1,0.0010335701523836135,10.0,-1.0,-1.0,10.0,10.0
1,0.004,1,0.0010722299620109824,10.21456489161422,6.284156298701803,188.0,0.00035214789235426137,3.5243411347693296
2,0.004,1,0.0010873432982094952,10.297676016187589,7.069675836039529,141.0,0.000984859800326013,1.9287026558449125
3,0.004,1,0.0010479568395401248,10.080183839646057,7.855195373377255,126.0,0.0021083355187652927,1.3711313456697254
4,0.004,1,0.00106518518745377,10.175678807496682,8.64071491071498,110.0,0.0013916668923266414,0.9737113153819295
5,0.004,1,0.0011308634476753386,10.534693188397775,9.426234448052705,94.0,0.001641028093078459,0.7699185854483909
6,0.004,1,0.0010557823228955834,10.123630108611433,10.997273522728158,86.0,0.003356143168024381,0.6905057232635807
7,0.004,1,0.0010851189231476707,10.285470233511088,11.782793060065881,78.0,0.006809063048921948,0.6729127050318731
8,0.004,1,0.00113211608108411,10.541465836552984,12.568312597403608,70.0,0.00818973580049197,0.5453302798040964
9,0.004,1,0.0010649610895745827,10.174440286815653,13.353832134741332,70.0,0.007779750173045821,0.5673690077379175
10,0.004,1,0.0011156117541204053,10.452012612052975,14.139351672079059,63.0,0.004096294527140095,0.47282478753643387
