,topology,sigma,sigma-cor,epsilon,sigma-cdp,sigma-ldp
0,ring,2.13074590837776,20.099786240291937,10.511926258281227,2.0078182598175043,8.031273039270017
1,ring,2.253673556938015,15.035146077939844,10.785492984879948,2.0078182598175043,8.031273039270017
2,ring,2.3766012054982704,15.035146077939844,10.320757685669813,2.0078182598175043,8.031273039270017
3,ring,2.499528854058526,12.543021553607861,10.635056375578337,2.0078182598175043,8.031273039270017
4,ring,2.622456502618781,10.050897029275879,11.393665240357514,2.0078182598175043,8.031273039270017
5,ring,2.7453841511790364,10.050897029275879,11.05207632917618,2.0078182598175043,8.031273039270017
6,ring,2.868311799739292,10.050897029275879,10.740105733578806,2.0078182598175043,8.031273039270017
7,ring,2.991239448299547,10.050897029275879,10.453568303306911,2.0078182598175043,8.031273039270017
8,ring,3.1141670968598025,10.050897029275879,10.189039440941684,2.0078182598175043,8.031273039270017
9,ring,3.237094745420058,7.478381391255766,11.674604194622042,2.0078182598175043,8.031273039270017
10,ring,3.360022393980313,7.478381391255766,11.40771380398409,2.0078182598175043,8.031273039270017
11,ring,3.4829500425405686,7.478381391255766,11.156576841314426,2.0078182598175043,8.031273039270017
12,ring,3.605877691100824,7.478381391255766,10.919605885808622,2.0078182598175043,8.031273039270017
13,ring,3.728805339661079,7.478381391255766,10.695437835481272,2.0078182598175043,8.031273039270017
14,ring,3.8517329882213347,7.478381391255766,10.482893804813164,2.0078182598175043,8.031273039270017
15,ring,3.97466063678159,7.478381391255766,10.280947456549617,2.0078182598175043,8.031273039270017
16,ring,4.097588285341845,7.478381391255766,10.088699782719921,2.0078182598175043,8.031273039270017
17,ring,4.220515933902101,6.192123572245711,10.943428386010407,2.0078182598175043,8.031273039270017
18,ring,4.343443582462356,6.192123572245711,10.742766547381827,2.0078182598175043,8.031273039270017
19,ring,4.466371231022611,4.9862568669237834,11.762948386992845,2.0078182598175043,8.031273039270017
20,ring,4.589298879582866,4.9862568669237834,11.545641696179572,2.0078182598175043,8.031273039270017
21,ring,4.7122265281431215,4.9862568669237834,11.33697551360292,2.0078182598175043,8.031273039270017
22,ring,4.835154176703377,4.9862568669237834,11.136374283645631,2.0078182598175043,8.031273039270017
23,ring,4.958081825263633,4.9862568669237834,10.943315951040951,2.0078182598175043,8.031273039270017
24,ring,5.0810094738238885,4.9862568669237834,10.757325753355357,2.0078182598175043,8.031273039270017
25,ring,5.2039371223841435,4.9862568669237834,10.577970867336703,2.0078182598175043,8.031273039270017
26,ring,5.326864770944399,4.9862568669237834,10.404855773292216,2.0078182598175043,8.031273039270017
27,ring,5.449792419504654,4.9862568669237834,10.237618226258837,2.0078182598175043,8.031273039270017
28,ring,5.57272006806491,4.9862568669237834,10.075925742320868,2.0078182598175043,8.031273039270017
29,ring,5.695647716625166,3.6999990479137277,11.18528645870779,2.0078182598175043,8.031273039270017
30,ring,5.818575365185421,3.6999990479137277,10.995004688915888,2.0078182598175043,8.031273039270017
31,ring,5.941503013745676,3.6999990479137277,10.810839004882965,2.0078182598175043,8.031273039270017
32,ring,6.064430662305931,3.6999990479137277,10.632485312357028,2.0078182598175043,8.031273039270017
33,ring,6.187358310866186,2.4941323425918007,11.710723486172993,2.0078182598175043,8.031273039270017
34,ring,6.310285959426441,2.4941323425918007,11.495177511700367,2.0078182598175043,8.031273039270017
35,ring,6.433213607986698,2.4941323425918007,11.286860722483832,2.0078182598175043,8.031273039270017
36,ring,6.556141256546953,2.4941323425918007,11.085428538794192,2.0078182598175043,8.031273039270017
37,ring,6.679068905107208,2.4941323425918007,10.890557920784065,2.0078182598175043,8.031273039270017
38,ring,6.801996553667463,2.4941323425918007,10.701945659041213,2.0078182598175043,8.031273039270017
39,ring,6.924924202227718,2.4941323425918007,10.519306833269548,2.0078182598175043,8.031273039270017
40,ring,7.047851850787973,2.4941323425918007,10.342373419249753,2.0078182598175043,8.031273039270017
41,ring,7.17077949934823,2.4941323425918007,10.17089302694029,2.0078182598175043,8.031273039270017
42,ring,7.293707147908485,2.4941323425918007,10.004627754875074,2.0078182598175043,8.031273039270017
43,ring,7.41663479646874,1.2078745235817447,10.650700997207952,2.0078182598175043,8.031273039270017
44,ring,7.539562445028995,1.2078745235817447,10.458744997681162,2.0078182598175043,8.031273039270017
45,ring,7.66249009358925,1.2078745235817447,10.273335857734615,2.0078182598175043,8.031273039270017
46,ring,7.785417742149505,1.2078745235817447,10.094154043901767,2.0078182598175043,8.031273039270017
47,ring,7.908345390709762,0.564745614076717,10.120641452694956,2.0078182598175043,8.031273039270017
48,ring,8.031273039270017,0.002007818259817504,9.999999278102923,2.0078182598175043,8.031273039270017
