,topology,lr,clip,sigma,sigma-cor,T,loss,sigma_cor
33,grid,0.01,0.5,6.738010185558171,,2000,31.714223225735836,37.537600000000005
34,grid,0.01,0.5,16.067562750177174,,2000,32.796568866042406,10.911
35,grid,0.01,0.5,25.008383957937056,,2000,7.512748039647713,1.5015999999999998
36,grid,0.01,1.0,6.738010185558171,,500,30.576332997071642,37.537600000000005
37,grid,0.01,1.0,16.067562750177174,,500,52.989982759343626,10.911
38,grid,0.01,1.0,25.008383957937056,,500,2.1489940253494537,1.5015999999999998
39,grid,0.01,1.0,9.52898538782442,,1000,32.828827594201435,50.0501
40,grid,0.01,1.0,23.272714312571182,,1000,31.41014038369919,14.8149
41,grid,0.01,1.0,35.36719576634833,,1000,33.176446614897095,3.1032
42,grid,0.01,1.0,13.476020371116341,,2000,55.22195000400874,75.0751
43,grid,0.01,1.0,32.13512550035435,,2000,50.01968167346317,21.8219
44,grid,0.01,1.0,50.01676791587411,,2000,57.77973682759122,3.1032
45,grid,0.05,0.01,0.0673801018555817,,500,3.6102130338894582,0.3004
46,grid,0.05,0.01,0.1723375682075455,,500,0.43131531054692107,0.1002
47,grid,0.05,0.01,0.2500838395793705,,500,0.3396097508417545,0.0001
48,grid,0.05,0.01,0.09528985387824421,,1000,11.1886568828967,0.5005999999999999
49,grid,0.05,0.01,0.29319955039459755,,1000,0.8807303447719003,0.1002
50,grid,0.05,0.01,0.35367195766348325,,1000,0.25565669754021825,0.0001
51,grid,0.05,0.01,0.1347602037111634,,2000,51.660211700856365,0.7008
52,grid,0.05,0.01,0.4379706620612811,,2000,3.8432252885069955,0.1002
53,grid,0.05,0.01,0.500167679158741,,2000,0.2493749223913848,0.0001
54,grid,0.05,0.05,0.33690050927790854,,500,16.99924386944202,1.902
55,grid,0.05,0.05,0.8228147053518151,,500,15.775490345055706,0.5005999999999999
56,grid,0.05,0.05,1.2504191978968529,,500,1.2089410822702198,0.1002
57,grid,0.05,0.05,0.47644926939122106,,1000,26.819533502919974,2.3024
58,grid,0.05,0.05,1.1086607999295721,,1000,13.063305564888465,0.7008
59,grid,0.05,0.05,1.7683597883174167,,1000,1.3484185502384887,0.1002
60,grid,0.05,0.05,0.6738010185558171,,2000,40.39105725740273,3.1032
61,grid,0.05,0.05,1.5678831393318051,,2000,40.794978171618034,1.1012
62,grid,0.05,0.05,2.4619652601077933,,2000,26.823479246198204,0.3004
63,grid,0.05,0.1,0.6738010185558171,,500,26.564019123620422,3.8039
64,grid,0.05,0.1,1.5678831393318051,,500,49.95755215214737,1.1012
65,grid,0.05,0.1,2.4619652601077933,,500,1.2566199199270143,0.3004
66,grid,0.05,0.1,0.9528985387824421,,1000,37.01899206235,4.604699999999999
67,grid,0.05,0.1,2.3272714312571186,,1000,65.75517664465573,1.5015999999999998
68,grid,0.05,0.1,3.5367195766348334,,1000,5.413308960543884,0.3004
69,grid,0.05,0.1,1.3476020371116342,,2000,33.626248380740705,6.2063
70,grid,0.05,0.1,3.058020007291785,,2000,26.44995533025853,2.3024
71,grid,0.05,0.1,5.001676791587411,,2000,14.019080409713414,0.3004
72,grid,0.05,0.5,3.3690050927790853,,500,61.43325144548223,18.718799999999998
73,grid,0.05,0.5,8.422512731947712,,500,32.88095820844215,5.205299999999999
74,grid,0.05,0.5,12.504191978968528,,500,5.430832463342712,0.7008
75,grid,0.05,0.5,4.76449269391221,,1000,68.20312495781842,25.0251
76,grid,0.05,0.5,11.361482577790655,,1000,58.42854419582657,7.7078
77,grid,0.05,0.5,17.683597883174166,,1000,39.97151618550587,1.5015999999999998
78,grid,0.05,0.5,6.738010185558171,,2000,33.22896662378456,37.537600000000005
79,grid,0.05,0.5,16.067562750177174,,2000,53.68782598509373,10.911
80,grid,0.05,0.5,25.008383957937056,,2000,42.141523586871244,1.5015999999999998
81,grid,0.05,1.0,6.738010185558171,,500,39.15087188400586,37.537600000000005
82,grid,0.05,1.0,16.067562750177174,,500,58.70277710831432,10.911
83,grid,0.05,1.0,25.008383957937056,,500,40.72823246711343,1.5015999999999998
84,grid,0.05,1.0,9.52898538782442,,1000,46.26833957608741,50.0501
85,grid,0.05,1.0,23.272714312571182,,1000,44.00469577361744,14.8149
86,grid,0.05,1.0,35.36719576634833,,1000,54.6705499578283,3.1032
87,grid,0.05,1.0,13.476020371116341,,2000,66.63152857652847,75.0751
88,grid,0.05,1.0,32.13512550035435,,2000,56.17328655128805,21.8219
89,grid,0.05,1.0,50.01676791587411,,2000,69.73716694976822,3.1032
90,grid,0.1,0.01,0.0673801018555817,,500,17.68318532052651,0.3004
91,grid,0.1,0.01,0.1723375682075455,,500,1.0242943581225656,0.1002
92,grid,0.1,0.01,0.2500838395793705,,500,0.30406089385887747,0.0001
93,grid,0.1,0.01,0.09528985387824421,,1000,16.0817465464088,0.5005999999999999
94,grid,0.1,0.01,0.29319955039459755,,1000,2.3859890166478444,0.1002
95,grid,0.1,0.01,0.35367195766348325,,1000,0.26909051963846686,0.0001
96,grid,0.1,0.01,0.1347602037111634,,2000,26.74400770974406,0.7008
