,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
49,grid,0.05,0.0001,0.0,0.01103284303146447,0.004668351994842183,5000,0.25440303702817857
22,grid,0.005,0.001,0.0,0.1103284303146447,0.04668351994842182,5000,0.25441304956579947
6,grid,0.001,0.001,0.0,0.03956605776801051,0.18662222959192,5000,0.26403077598300206
33,grid,0.01,0.0001,0.0,0.003956605776801052,0.018662222959192006,5000,0.26403653910751873
60,grid,0.1,1e-05,0.0,0.0003956605776801052,0.0018662222959192004,5000,0.2640720169919362
11,grid,0.001,0.01,0.0,1.4456828799849994,0.11605550064451606,5000,0.28217702453285204
38,grid,0.01,0.001,0.0,0.14456828799849997,0.011605550064451605,5000,0.2821817655163073
65,grid,0.1,0.0001,0.0,0.014456828799849995,0.0011605550064451606,5000,0.28223739397801256
18,grid,0.005,0.0001,0.0,0.003956605776801052,0.018662222959192006,5000,0.3056474772823165
45,grid,0.05,1e-05,0.0,0.0003956605776801052,0.0018662222959192004,5000,0.30567044619155154
64,grid,0.1,0.0001,0.0,0.01103284303146447,0.004668351994842183,5000,0.3056731183213974
37,grid,0.01,0.001,0.0,0.1103284303146447,0.04668351994842182,5000,0.306141568090508
10,grid,0.001,0.01,0.0,1.103284303146447,0.46683519948421826,5000,0.30620116878894177
23,grid,0.005,0.001,0.0,0.14456828799849997,0.011605550064451605,5000,0.3258751610658546
50,grid,0.05,0.0001,0.0,0.014456828799849995,0.0011605550064451606,5000,0.32587996544396436
61,grid,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5000,0.3413038029096741
34,grid,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5000,0.3413048593875515
7,grid,0.001,0.001,0.0,0.1103284303146447,0.04668351994842182,5000,0.34130654945059163
53,grid,0.05,0.001,0.0,0.14456828799849997,0.011605550064451605,5000,0.3550066550331699
26,grid,0.005,0.01,0.0,1.4456828799849994,0.11605550064451606,5000,0.35530562398499943
46,grid,0.05,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5000,0.36478317855454667
19,grid,0.005,0.0001,0.0,0.01103284303146447,0.004668351994842183,5000,0.3648058849832703
30,grid,0.01,1e-05,0.0,0.0003956605776801052,0.0018662222959192004,5000,0.3704560262906319
3,grid,0.001,0.0001,0.0,0.003956605776801052,0.018662222959192006,5000,0.37046487067373507
62,grid,0.1,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5000,0.37644668183628266
35,grid,0.01,0.0001,0.0,0.014456828799849995,0.0011605550064451606,5000,0.37652440908894025
8,grid,0.001,0.001,0.0,0.14456828799849997,0.011605550064451605,5000,0.37653498767103777
15,grid,0.005,1e-05,0.0,0.0003956605776801052,0.0018662222959192004,5000,0.3807271399075303
47,grid,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5000,0.383845004540271
20,grid,0.005,0.0001,0.0,0.014456828799849995,0.0011605550064451606,5000,0.38389022500976006
31,grid,0.01,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5000,0.3858871157045519
4,grid,0.001,0.0001,0.0,0.01103284303146447,0.004668351994842183,5000,0.3858981267286175
16,grid,0.005,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5000,0.38866790460839185
