Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,accuracy
-1,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.0
0,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.09453125
5,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1494
10,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1074
15,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1377
20,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1543
25,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.122
30,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1556
35,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.126
40,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1572
45,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1988
50,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2045
55,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2241
60,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2168
65,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2304
70,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2373
75,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2231
80,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.22
85,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2214
90,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1934
95,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2124
100,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2114
105,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2176
110,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2299
115,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2224
120,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1862
125,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2054
130,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2121
135,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2111
140,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2068
145,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1855
150,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1971
155,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2059
160,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2012
165,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1812
170,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1895
175,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1632
180,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1733
185,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1887
190,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2058
195,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2278
200,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2218
205,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2407
210,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2414
215,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.246
220,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2377
225,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2469
230,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.262
235,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2522
240,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2304
245,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2411
250,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2385
255,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2526
260,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2492
265,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2245
270,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.227
275,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2034
280,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2224
285,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2012
290,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.2097
295,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.18
300,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1743
305,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1449
310,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1539
315,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1682
320,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1467
325,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1423
330,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1346
335,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1491
340,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.128
345,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1427
350,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1474
355,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1397
360,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1515
365,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1346
370,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1292
375,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1216
380,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1184
385,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1186
390,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1138
395,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1048
400,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.103
405,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1034
410,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1048
415,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1079
420,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1044
425,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1026
430,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1072
435,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1069
440,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1046
445,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1064
450,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1022
455,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.103
460,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1012
465,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1005
470,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.0994
475,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.0996
480,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1005
485,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1005
490,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1016
495,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1024
500,centralized,cdp,0.05,1.5,3.8880688878168694,0,30,0.1017
