Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,accuracy
-1,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.0
0,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.10611875000000001
5,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1336
10,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1227
15,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1674
20,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1472
25,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1739
30,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1522
35,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1447
40,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1382
45,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1782
50,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1695
55,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1649
60,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1317
65,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1399
70,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1461
75,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1308
80,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1197
85,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1362
90,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.155
95,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1937
100,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.2586
105,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.2335
110,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.2226
115,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1909
120,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1858
125,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1852
130,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1575
135,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.147
140,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1624
145,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1892
150,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.2
155,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1949
160,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.2017
165,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.2024
170,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.2173
175,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.2044
180,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.2091
185,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.2077
190,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.2081
195,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1889
200,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1906
205,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1971
210,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1953
215,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1953
220,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1923
225,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1933
230,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1901
235,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.197
240,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1932
245,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1775
250,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.158
255,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1631
260,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1734
265,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1675
270,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1861
275,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1969
280,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1834
285,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.2002
290,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.2008
295,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1857
300,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1726
305,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1879
310,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.18
315,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1856
320,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1685
325,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1567
330,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1532
335,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1423
340,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1385
345,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1357
350,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1554
355,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1483
360,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1509
365,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1579
370,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1395
375,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1512
380,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1432
385,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1337
390,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1371
395,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1381
400,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1337
405,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1392
410,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1482
415,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1552
420,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1534
425,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1799
430,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1827
435,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1817
440,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1814
445,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1865
450,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1857
455,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.18
460,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1919
465,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1963
470,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.2008
475,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1864
480,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.182
485,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1961
490,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1652
495,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.181
500,centralized,cdp,0.01,4.0,10.368183700844986,0,30,0.1818
