Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,accuracy
-1,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.0
0,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.10075
5,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1004
10,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1162
15,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.0884
20,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1171
25,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1561
30,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.153
35,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1405
40,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1297
45,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1058
50,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1099
55,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1671
60,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1486
65,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1233
70,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1313
75,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1376
80,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1525
85,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1645
90,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1627
95,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.165
100,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1585
105,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.162
110,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1596
115,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1736
120,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1792
125,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1758
130,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1804
135,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1777
140,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.199
145,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1881
150,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1694
155,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1702
160,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1685
165,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1725
170,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1864
175,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1982
180,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1994
185,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2097
190,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2178
195,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2061
200,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2379
205,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2623
210,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2742
215,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2604
220,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2558
225,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2506
230,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2345
235,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2505
240,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.277
245,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2617
250,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2586
255,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2586
260,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2629
265,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2713
270,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2922
275,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2827
280,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.277
285,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2675
290,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2739
295,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2528
300,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2491
305,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.259
310,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2524
315,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2382
320,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2336
325,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2297
330,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2179
335,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2098
340,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2323
345,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2629
350,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2503
355,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2627
360,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2572
365,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2566
370,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2695
375,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2791
380,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2649
385,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2974
390,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2847
395,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2968
400,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2913
405,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2964
410,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.3
415,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.3103
420,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.3088
425,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2961
430,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2673
435,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2544
440,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2627
445,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2342
450,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2192
455,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2164
460,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.2133
465,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1995
470,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1997
475,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1871
480,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1776
485,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1627
490,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1696
495,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1739
500,centralized,cdp,0.05,0.5,1.2960229626056232,0,30,0.1705
