Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,accuracy
-1,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.0
0,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1033625
5,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.0974
10,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1149
15,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1291
20,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1129
25,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1352
30,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1384
35,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1354
40,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1574
45,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1438
50,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1637
55,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1519
60,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1299
65,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1273
70,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1211
75,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1205
80,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1232
85,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1279
90,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1361
95,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1516
100,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1473
105,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1505
110,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1589
115,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1575
120,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1584
125,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1552
130,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1523
135,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1462
140,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1466
145,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1477
150,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1392
155,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1469
160,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1383
165,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.147
170,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1653
175,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1648
180,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.151
185,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1552
190,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1791
195,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1719
200,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1692
205,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1856
210,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.2
215,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.2059
220,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.2034
225,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1952
230,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1889
235,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1731
240,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1666
245,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1798
250,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1803
255,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1932
260,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.2023
265,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1899
270,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1822
275,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1807
280,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1952
285,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1747
290,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1707
295,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1478
300,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1507
305,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1502
310,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.158
315,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1587
320,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1616
325,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.135
330,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1336
335,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1348
340,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1397
345,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1381
350,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1487
355,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1468
360,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1624
365,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1688
370,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1745
375,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1792
380,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1851
385,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.2015
390,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1979
395,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1801
400,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1867
405,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1811
410,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1798
415,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1746
420,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1686
425,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.165
430,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1661
435,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1707
440,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1716
445,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.192
450,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.1899
455,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.193
460,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.2135
465,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.2178
470,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.2254
475,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.2313
480,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.2338
485,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.2583
490,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.2578
495,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.2504
500,centralized,cdp,0.05,3.0,7.776137775633739,0,30,0.2498
